Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return,SMA_50,SMA_200,Volatility_21D,Running_Peak,Drawdown_Pct,Avg_Volume_50,Is_Breakout_Day
2023-01-03,AMZN,85.45999908447266,86.95999908447266,84.20999908447266,85.81999969482422,76706000,,,,,,85.81999969482422,0.0,,False
2023-01-04,AMZN,86.55000305175781,86.9800033569336,83.36000061035156,85.13999938964844,68885100,-0.007923564525679994,-0.007923564525679994,,,,85.81999969482422,-0.7923564525680042,,False
2023-01-05,AMZN,85.33000183105469,85.41999816894531,83.06999969482422,83.12000274658203,67930800,-0.023725589118479662,-0.03146116240786956,,,,85.81999969482422,-3.1461162407869634,,False
2023-01-06,AMZN,83.02999877929688,86.4000015258789,81.43000030517578,86.08000183105469,83303400,0.035611152390083056,0.0030296217333376507,,,,86.08000183105469,0.0,,False
2023-01-09,AMZN,87.45999908447266,89.4800033569336,87.08000183105469,87.36000061035156,65266100,0.01486987397850048,0.01794454580521543,,,,87.36000061035156,0.0,,False
2023-01-10,AMZN,87.56999969482422,90.19000244140625,87.29000091552734,89.87000274658203,67756600,0.028731709234134817,0.0471918325117644,,,,89.87000274658203,0.0,,False
2023-01-11,AMZN,90.93000030517578,95.26000213623047,90.93000030517578,95.08999633789062,103126200,0.058083825879343465,0.1080167405736483,,,,95.08999633789062,0.0,,False
2023-01-12,AMZN,96.93000030517578,97.19000244140625,93.5,95.2699966430664,85254800,0.0018929468094222024,0.11011415732750351,,,,95.2699966430664,0.0,,False
2023-01-13,AMZN,94.18000030517578,98.37000274658203,94.12000274658203,98.12000274658203,85549400,0.029915043601747016,0.14332327074687234,,,,98.12000274658203,0.0,,False
2023-01-17,AMZN,98.68000030517578,98.88999938964844,95.7300033569336,96.05000305175781,72755000,-0.02109661268732821,0.11920302252751624,,,,98.12000274658203,-2.1096612687328187,,False
2023-01-18,AMZN,97.25,99.31999969482422,95.37999725341797,95.45999908447266,79570400,-0.006142675153973931,0.11232812192878394,,,,98.12000274658203,-2.7109698202714685,,False
2023-01-19,AMZN,94.73999786376953,95.44000244140625,92.86000061035156,93.68000030517578,69002700,-0.01864654092151996,0.0915870500850815,,,,98.12000274658203,-4.525073702732764,,False
2023-01-20,AMZN,93.86000061035156,97.3499984741211,93.19999694824219,97.25,67481500,0.03810845093076898,0.1331857416199116,,,,98.12000274658203,-0.8866721588145668,,False
2023-01-23,AMZN,97.55999755859375,97.77999877929688,95.86000061035156,97.5199966430664,76501100,0.002776315095798454,0.1363318223007146,,,,98.12000274658203,-0.611502330534256,,False
2023-01-24,AMZN,96.93000030517578,98.08999633789062,96.0,96.31999969482422,66929500,-0.012305137300550828,0.12234910320831927,,,,98.12000274658203,-1.8344914404525074,,False
2023-01-25,AMZN,92.55999755859375,97.23999786376953,91.5199966430664,97.18000030517578,94261600,0.008928577793566816,0.1323700844878546,,,,98.12000274658203,-0.958013060633546,,False
2023-01-26,AMZN,98.23999786376953,99.48999786376953,96.91999816894531,99.22000122070312,68523600,0.02099198301215366,0.15614077806489468,,,,99.22000122070312,0.0,,False
2023-01-27,AMZN,99.52999877929688,103.48999786376953,99.52999877929688,102.23999786376953,87775600,0.03043737760442866,0.1913306714907339,,,,102.23999786376953,0.0,,False
2023-01-30,AMZN,101.08999633789062,101.73999786376953,99.01000213623047,100.55000305175781,70691900,-0.01652968356145279,0.1716383524739391,,,,102.23999786376953,-1.6529683561452784,,False
2023-01-31,AMZN,101.16000366210938,103.3499984741211,101.13999938964844,103.12999725341797,66527300,0.025658817736008643,0.20170120741258546,,,,103.12999725341797,0.0,,False
2023-02-01,AMZN,102.52999877929688,106.23999786376953,101.23999786376953,105.1500015258789,80450100,0.019586971068148662,0.2252388941947352,,,,105.1500015258789,0.0,,False
2023-02-02,AMZN,110.25,114.0,108.87999725341797,112.91000366210938,158154200,0.07379935352944922,0.3156607325054439,,,0.026503401143375287,112.91000366210938,0.0,,False
2023-02-03,AMZN,105.26000213623047,108.77999877929688,102.5199966430664,103.38999938964844,144374800,-0.08431497620839845,0.20473082914592333,,,0.033820145336152165,112.91000366210938,-8.431497620839847,,False
2023-02-06,AMZN,102.93000030517578,103.94999694824219,100.6500015258789,102.18000030517578,81945200,-0.011703250716856073,0.19063156220610278,,,0.03332164078196102,112.91000366210938,-9.503146761950195,,False
2023-02-07,AMZN,101.16999816894531,102.41000366210938,98.08000183105469,102.11000061035156,119501300,-0.0006850625818668465,0.18981590507404578,,,0.03288772841674123,112.91000366210938,-9.565142769880278,,False
2023-02-08,AMZN,102.04000091552734,102.66999816894531,98.77999877929688,100.05000305175781,75878300,-0.02017429777965274,0.16581220470211488,,,0.03344255292214171,112.91000366210938,-11.38960250930109,,False
2023-02-09,AMZN,101.31999969482422,101.77999877929688,97.56999969482422,98.23999786376953,64622500,-0.01809100582487666,0.1447214893161366,,,0.033483112356034746,112.91000366210938,-12.992653726449962,,False
2023-02-10,AMZN,97.55999755859375,98.81999969482422,96.2300033569336,97.61000061035156,52740100,-0.006412838631079665,0.13738057512762314,,,0.0312321546258287,112.91000366210938,-13.550617797820713,,False
2023-02-13,AMZN,97.8499984741211,99.68000030517578,96.91000366210938,99.54000091552734,52841500,0.019772567289289666,0.159869509082865,,,0.03147999920681732,112.91000366210938,-11.841291571110604,,False
2023-02-14,AMZN,98.41000366210938,100.91999816894531,97.5199966430664,99.69999694824219,56202900,0.0016073541414833858,0.1617338301418696,,,0.030850091926320215,112.91000366210938,-11.699589306009592,,False
2023-02-15,AMZN,99.08999633789062,101.16999816894531,98.44999694824219,101.16000366210938,47957600,0.014643999584324163,0.17874625986756243,,,0.03054185056183385,112.91000366210938,-10.406518128511136,,False
2023-02-16,AMZN,99.20999908447266,100.62999725341797,98.0999984741211,98.1500015258789,56339200,-0.02975486385196624,0.1436728253891888,,,0.03131695007814713,112.91000366210938,-13.07235998362089,,False
2023-02-17,AMZN,97.80000305175781,97.94000244140625,95.6500015258789,97.19999694824219,60029400,-0.009679109147912035,0.13260309128274583,,,0.03108455992244422,112.91000366210938,-13.913742099309834,,False
2023-02-21,AMZN,95.33999633789062,95.61000061035156,94.2699966430664,94.58000183105469,56580400,-0.02695468312187932,0.10207413385435848,,,0.030567020182143724,112.91000366210938,-16.234169902171313,,False
2023-02-22,AMZN,95.0999984741211,97.01000213623047,94.80000305175781,95.79000091552734,59534100,0.012793392483054111,0.11617340079417926,,,0.03070471828031291,112.91000366210938,-15.162520761060966,,False
2023-02-23,AMZN,96.12000274658203,96.43000030517578,93.66999816894531,95.81999969482422,48467000,0.000313172345862478,0.11652295543649527,,,0.03058330444618121,112.91000366210938,-15.135952008670655,,False
2023-02-24,AMZN,93.52999877929688,94.13999938964844,92.31999969482422,93.5,57053800,-0.024212061179431754,0.08948963333122695,,,0.030963153465676102,112.91000366210938,-17.190685530570956,,False
2023-02-27,AMZN,94.27999877929688,94.77999877929688,93.13999938964844,93.76000213623047,47470300,0.0027807715104863906,0.0925192550645646,,,0.030557714211007447,112.91000366210938,-16.96041174809147,,False
2023-02-28,AMZN,93.13999938964844,94.69000244140625,92.91999816894531,94.2300033569336,43959300,0.005012811540044737,0.09799584819407325,,,0.02968947613384844,112.91000366210938,-16.54414994182173,,False
2023-03-01,AMZN,93.87000274658203,94.68000030517578,91.58999633789062,92.16999816894531,52299500,-0.02186145722806776,0.07399205892218252,,,0.02982935027783938,112.91000366210938,-18.368616438300627,,False
2023-03-02,AMZN,91.41000366210938,92.2300033569336,90.38999938964844,92.12999725341797,55509400,-0.00043399062951077205,0.07352595643244131,,,0.029078923057744278,112.91000366210938,-18.404043693840404,,False
2023-03-03,AMZN,92.73999786376953,94.94000244140625,92.66000366210938,94.9000015258789,55759600,0.030066258059702422,0.10580286487232793,,,0.029606197463808156,112.91000366210938,-15.950758614911207,,False
2023-03-06,AMZN,95.19000244140625,96.55000305175781,93.73999786376953,93.75,52112400,-0.012118034851298809,0.09240270721713895,,,0.023573874912866867,112.91000366210938,-16.969270251240935,,False
2023-03-07,AMZN,94.05999755859375,95.08999633789062,92.77999877929688,93.55000305175781,49100700,-0.0021333007812499583,0.09007228366839315,,,0.015957209383973672,112.91000366210938,-17.14639977188172,,False
2023-03-08,AMZN,93.5999984741211,94.16999816894531,92.18000030517578,93.91999816894531,44899100,0.003955051898638651,0.09438357612356918,,,0.015975978862415547,112.91000366210938,-16.818709482990457,,False
2023-03-09,AMZN,93.68000030517578,96.20999908447266,92.18000030517578,92.25,56218700,-0.017781071140368643,0.07492426390166496,,,0.016238247213884477,112.91000366210938,-18.297761927221078,,False
2023-03-10,AMZN,92.66999816894531,93.56999969482422,90.25,90.7300033569336,69827500,-0.0164769283801236,0.057212813791300166,,,0.016081341686488514,112.91000366210938,-19.643963852442067,,False
2023-03-13,AMZN,89.97000122070312,94.0199966430664,88.12000274658203,92.43000030517578,72397100,0.01873687738723384,0.07702168065552017,,,0.016529473648887162,112.91000366210938,-18.138342655821138,,False
2023-03-14,AMZN,93.83000183105469,95.06999969482422,92.70999908447266,94.87999725341797,60912700,0.0265065123894086,0.10556976917747729,,,0.01768700591608399,112.91000366210938,-15.968475621210136,,False
2023-03-15,AMZN,93.22000122070312,96.66999816894531,93.06999969482422,96.19999694824219,70731800,0.01391230747297123,0.12095079573909628,95.92900024414062,,0.0173831701965239,112.91000366210938,-14.79940321662993,70553382.0,True
2023-03-16,AMZN,95.75,100.98999786376953,95.61000061035156,100.04000091552734,84446900,0.03991688242309577,0.16569565685468945,96.2134002685547,,0.01959306586417663,112.91000366210938,-11.398461012450555,70708200.0,True
2023-03-17,AMZN,99.79000091552734,100.66000366210938,97.45999908447266,98.94999694824219,87300200,-0.010895681300578386,0.15299460848413227,96.48960021972657,,0.01945323248547378,112.91000366210938,-12.363835143999664,71076502.0,True
2023-03-20,AMZN,98.41000366210938,98.4800033569336,95.69999694824219,97.70999908447266,62388900,-0.012531560404374087,0.1385457869019957,96.78140014648437,,0.01851507065046679,112.91000366210938,-13.462053037500322,70965664.0,False
2023-03-21,AMZN,98.13999938964844,100.8499984741211,98.0,100.61000061035156,58597300,0.029679680207260972,0.17233746175857134,97.0720001220703,,0.019459766787774817,112.91000366210938,-10.893634445860423,70471542.0,False
2023-03-22,AMZN,100.44999694824219,102.0999984741211,98.61000061035156,98.69999694824219,57475400,-0.018984232685839597,0.15008153459822005,97.29880004882813,,0.018941247741188938,112.91000366210938,-12.585250423329688,70315728.0,False
2023-03-23,AMZN,100.43000030517578,101.05999755859375,97.62000274658203,98.70999908447266,57559300,0.00010133876939955044,0.15019808244564548,97.47559997558594,,0.018788275258159518,112.91000366210938,-12.576391920180225,70111782.0,False
2023-03-24,AMZN,98.06999969482422,98.30000305175781,96.4000015258789,98.12999725341797,56095400,-0.005875816395847999,0.14343972969433838,97.53639999389648,,0.018857844746061954,112.91000366210938,-13.090076989919822,69171166.0,False
2023-03-27,AMZN,99.06999969482422,99.33999633789062,97.08000183105469,98.04000091552734,46721300,-0.0009171134251457769,0.14239106576739058,97.5918000793457,,0.01794496171808421,112.91000366210938,-13.169783247090749,68400496.0,False
2023-03-28,AMZN,98.11000061035156,98.44000244140625,96.29000091552734,97.23999786376953,38720100,-0.00815996577200262,0.13306919377248705,97.57419998168945,,0.018091947259644747,112.91000366210938,-13.87831484377006,67463910.0,False
2023-03-29,AMZN,98.69000244140625,100.41999816894531,98.55999755859375,100.25,49783300,0.0309543624265336,0.1681426282508609,97.6581999206543,,0.019169298158561783,112.91000366210938,-11.212472988660306,67004476.0,False
2023-03-30,AMZN,101.55000305175781,103.04000091552734,101.01000213623047,102.0,53633400,0.0174563591022443,0.18853414545224734,97.78899993896485,,0.018515614091083092,112.91000366210938,-9.662566033350135,66485736.0,False
2023-03-31,AMZN,102.16000366210938,103.48999786376953,101.94999694824219,103.29000091552734,56750300,0.012647067799287592,0.20356561737155032,97.98119995117187,,0.01854371577499558,112.91000366210938,-8.52006238116024,66240688.0,False
2023-04-03,AMZN,102.30000305175781,103.29000091552734,101.43000030517578,102.41000366210938,41135700,-0.008519675143944028,0.1933116292971242,98.08440002441407,,0.017901038090371295,112.91000366210938,-9.299441731861014,65713772.0,False
2023-04-04,AMZN,102.75,104.19999694824219,102.11000061035156,103.94999694824219,48662500,0.015037527888523972,0.2112560862023798,98.21300003051758,,0.017674234898435903,112.91000366210938,-7.935529557399182,65157000.0,False
2023-04-05,AMZN,103.91000366210938,103.91000366210938,100.75,101.0999984741211,45175400,-0.027417013542964663,0.1780470616829708,98.30860000610352,,0.01900135627475966,112.91000366210938,-10.45966239034984,64721918.0,False
2023-04-06,AMZN,100.75,102.37999725341797,99.80000305175781,102.05999755859375,43808000,0.009495540049077267,0.18923325473687935,98.40619995117187,,0.019040967652793006,112.91000366210938,-9.609428528569518,63712846.0,False
2023-04-10,AMZN,100.95999908447266,102.19999694824219,99.56999969482422,102.16999816894531,37261200,0.0010778033801970288,0.19051501435867757,98.46519989013672,,0.01838909280912429,112.91000366210938,-9.51200526509966,63087598.0,False
2023-04-11,AMZN,100.80000305175781,101.0,99.01000213623047,99.91999816894531,60417800,-0.022022120390757682,0.16429734938546625,98.41879989624023,,0.018749720050454787,112.91000366210938,-11.504742779069877,62540442.0,False
2023-04-12,AMZN,100.4000015258789,100.51000213623047,97.70999908447266,97.83000183105469,56735000,-0.020916697119598093,0.13994409437121957,98.36439987182617,,0.019262666134204406,112.91000366210938,-13.355771270880998,62261304.0,False
2023-04-13,AMZN,98.94999694824219,102.56999969482422,98.70999908447266,102.4000015258789,67925100,0.046713683014299345,0.1931950814496992,98.3497999572754,,0.020933962205034174,112.91000366210938,-9.308300235010481,62289260.0,True
2023-04-14,AMZN,102.06999969482422,103.19999694824219,101.11000061035156,102.51000213623047,51450500,0.001074224694457282,0.19447684107149743,98.29699996948243,,0.02081237969960462,112.91000366210938,-9.210876971540623,61709268.0,False
2023-04-17,AMZN,103.16000366210938,103.7300033569336,101.58999633789062,102.73999786376953,39919500,0.0022436418178335416,0.19715681926255924,98.09359985351563,,0.019040571971518636,112.91000366210938,-9.007178698509529,59344574.0,False
2023-04-18,AMZN,103.94999694824219,104.19999694824219,101.5199966430664,102.30000305175781,39790500,-0.004282604839014548,0.1920298696753262,98.07179992675782,,0.018880364704603428,112.91000366210938,-9.396864995330873,57252888.0,False
2023-04-19,AMZN,101.58000183105469,105.12000274658203,101.38999938964844,104.30000305175781,58398900,0.019550341547772243,0.2153344607626253,98.11419998168945,,0.018964337206169243,112.91000366210938,-7.625542760690679,56781962.0,True
2023-04-20,AMZN,103.52999877929688,105.25,103.20999908447266,103.80999755859375,57696900,-0.0046980391066805405,0.209624771938266,98.14819992065429,,0.018032657368053744,112.91000366210938,-8.059521573259348,55545874.0,True
2023-04-21,AMZN,106.0999984741211,108.1500015258789,105.08000183105469,106.95999908447266,86774200,0.03034391291745231,0.24632952068075387,98.2863998413086,,0.018419640660234653,112.91000366210938,-5.269687702289427,55763792.0,True
2023-04-24,AMZN,107.66000366210938,109.2300033569336,105.06999969482422,106.20999908447266,69575600,-0.007011967150520215,0.23759029902301676,98.44579986572266,,0.01855968871416017,112.91000366210938,-5.933933540279499,55862854.0,True
